# r[m]	M[Msun]	rho[g/cm^3]	P[N/m^2]	n_e[pm^-3]	n_p[pm^-3]	muF_e[MeV]	B
8.069000000000000000e+05	1.301680044738446673e+00	1.361633853443717659e+08	3.213583476268876966e+24	4.038035385934049515e+01	5.142725759277140263e+00	1.644966834592590521e+00	9.949956372443049535e-01
8.070000000000000000e+05	1.301736039706857362e+00	1.360507640531991124e+08	3.209952949540331257e+24	4.034692495578160276e+01	5.138472857011691097e+00	1.644399318321836168e+00	9.949962276914104953e-01
8.071000000000000000e+05	1.301792002226898504e+00	1.359382249347449243e+08	3.206326170683481283e+24	4.031352046816660817e+01	5.134223057271448454e+00	1.643831746668519500e+00	9.949968180175731147e-01
8.072000000000000000e+05	1.301847932311138933e+00	1.358257679343642592e+08	3.202703136107528762e+24	4.028014038024142707e+01	5.129976357993605518e+00	1.643264119608198959e+00	9.949974082228199013e-01
8.073000000000000000e+05	1.301903829972145488e+00	1.357133929974441230e+08	3.199083842224918115e+24	4.024678467576156038e+01	5.125732757116576721e+00	1.642696437116407449e+00	9.949979983071779444e-01
8.074000000000000000e+05	1.301959695222483449e+00	1.356011000694083273e+08	3.195468285451333775e+24	4.021345333849339454e+01	5.121492252580155835e+00	1.642128699168673434e+00	9.949985882706745555e-01
8.075000000000000000e+05	1.302015528074717432e+00	1.354888890957117379e+08	3.191856462205693752e+24	4.018014635221248199e+01	5.117254842325285935e+00	1.641560905740492293e+00	9.949991781133367130e-01
8.076000000000000000e+05	1.302071328540162165e+00	1.353767320848577619e+08	3.188248368990735026e+24	4.014686685712684522e+01	5.113019542134703777e+00	1.640994485828388694e+00	9.949997678351915065e-01
8.077000000000000000e+05	1.302127096564997144e+00	1.352644066036038697e+08	3.184644006520785820e+24	4.011364000868810820e+01	5.108778532242575388e+00	1.640440833804152954e+00	9.950003574362662473e-01
8.078000000000000000e+05	1.302182832114827660e+00	1.351521635782750249e+08	3.181043374253513097e+24	4.008043748187939315e+01	5.104540634438322400e+00	1.639887128759975221e+00	9.950009469165879139e-01
8.079000000000000000e+05	1.302238535202429492e+00	1.350400029535862803e+08	3.177446468600341222e+24	4.004725926044211803e+01	5.100305846636152829e+00	1.639333370672640955e+00	9.950015362761835958e-01
8.080000000000000000e+05	1.302294205840574648e+00	1.349279246742827594e+08	3.173853285975950145e+24	4.001410532812698051e+01	5.096074166751460410e+00	1.638779559518902751e+00	9.950021255150804933e-01
8.081000000000000000e+05	1.302349844042034022e+00	1.348159286851504743e+08	3.170263822798273789e+24	3.998097566869609665e+01	5.091845592701118584e+00	1.638225695275519200e+00	9.950027146333058070e-01
8.082000000000000000e+05	1.302405449819577177e+00	1.347040149310042560e+08	3.166678075488495760e+24	3.994787026592041457e+01	5.087620122403129663e+00	1.637671777919210259e+00	9.950033036308864043e-01
8.083000000000000000e+05	1.302461023185971234e+00	1.345921833566986620e+08	3.163096040471048267e+24	3.991478910358235055e+01	5.083397753776972117e+00	1.637117807426701876e+00	9.950038925078497076e-01
8.084000000000000000e+05	1.302516564153981538e+00	1.344804339071195126e+08	3.159517714173608904e+24	3.988173216547323818e+01	5.079178484743267497e+00	1.636563783774683589e+00	9.950044812642225844e-01
