xWS	rho[g/cm^3]	n_e[pm^-3]	P[N/m^2]	mu_F_e[MeV]
8.77547e-01	8.90605e+14	6.89421e+07	6.91228e+32	2.49825e+02
8.98011e-01	8.31606e+14	6.89421e+07	6.91228e+32	2.49825e+02
9.18951e-01	7.76550e+14	6.89421e+07	6.91228e+32	2.49825e+02
9.40381e-01	7.25173e+14	6.89421e+07	6.91228e+32	2.49825e+02
9.62310e-01	6.77229e+14	6.89420e+07	6.91227e+32	2.49825e+02
9.84750e-01	6.32488e+14	6.89420e+07	6.91227e+32	2.49825e+02
1.00771e+00	5.90800e+14	6.90577e+07	6.92775e+32	2.49965e+02
1.03121e+00	5.51837e+14	6.90577e+07	6.92774e+32	2.49965e+02
1.05526e+00	5.15477e+14	6.90577e+07	6.92774e+32	2.49965e+02
1.07987e+00	4.81547e+14	6.90577e+07	6.92774e+32	2.49965e+02
1.10505e+00	4.49884e+14	6.90577e+07	6.92774e+32	2.49965e+02
1.13082e+00	4.20336e+14	6.90577e+07	6.92774e+32	2.49965e+02
1.15719e+00	3.92763e+14	6.90577e+07	6.92774e+32	2.49965e+02
1.18417e+00	3.67032e+14	6.90577e+07	6.92774e+32	2.49965e+02
1.21179e+00	3.43021e+14	6.90577e+07	6.92774e+32	2.49965e+02
1.24004e+00	3.20614e+14	6.90577e+07	6.92774e+32	2.49965e+02
1.26896e+00	2.99704e+14	6.90577e+07	6.92774e+32	2.49965e+02
1.29855e+00	2.80191e+14	6.90577e+07	6.92774e+32	2.49965e+02
1.32883e+00	2.61982e+14	6.90577e+07	6.92774e+32	2.49965e+02
1.35982e+00	2.44535e+14	6.69388e+07	6.64578e+32	2.47377e+02
1.39153e+00	2.27709e+14	6.24166e+07	6.05399e+32	2.41663e+02
1.42398e+00	2.12067e+14	5.82391e+07	5.51986e+32	2.36135e+02
1.45719e+00	1.97509e+14	5.43452e+07	5.03334e+32	2.30739e+02
1.49117e+00	1.83953e+14	5.07004e+07	4.58835e+32	2.25449e+02
1.52594e+00	1.71342e+14	4.73202e+07	4.18508e+32	2.20312e+02
1.56152e+00	1.59586e+14	4.41245e+07	3.81254e+32	2.15225e+02
1.59794e+00	1.48655e+14	4.11783e+07	3.47695e+32	2.10312e+02
1.63520e+00	1.38476e+14	3.84234e+07	3.17031e+32	2.05502e+02
1.67333e+00	1.28994e+14	3.58393e+07	2.88926e+32	2.00776e+02
1.71235e+00	1.20177e+14	3.34594e+07	2.63632e+32	1.96218e+02
1.75228e+00	1.11955e+14	3.12080e+07	2.40249e+32	1.91702e+02
1.79314e+00	1.04302e+14	2.91150e+07	2.19010e+32	1.87306e+02
1.83496e+00	9.71742e+13	2.71570e+07	1.99595e+32	1.82997e+02
1.87775e+00	9.05433e+13	2.53524e+07	1.82109e+32	1.78840e+02
1.92154e+00	8.43570e+13	2.36341e+07	1.65841e+32	1.74692e+02
1.96634e+00	7.86076e+13	2.20698e+07	1.51369e+32	1.70739e+02
2.01220e+00	7.32468e+13	2.05910e+07	1.37999e+32	1.66825e+02
2.05912e+00	6.82540e+13	1.92123e+07	1.25818e+32	1.63004e+02
2.10714e+00	6.36048e+13	1.79307e+07	1.14754e+32	1.59283e+02
2.15627e+00	5.92716e+13	1.67257e+07	1.04589e+32	1.55621e+02
2.20656e+00	5.52370e+13	1.56082e+07	9.53765e+31	1.52063e+02
2.25801e+00	5.14777e+13	1.45621e+07	8.69501e+31	1.48575e+02
2.31067e+00	4.79769e+13	1.35911e+07	7.93067e+31	1.45185e+02
2.36455e+00	4.47147e+13	1.26823e+07	7.23164e+31	1.41863e+02
2.41969e+00	4.16747e+13	1.18314e+07	6.59201e+31	1.38604e+02
2.47612e+00	3.88434e+13	1.10415e+07	6.01185e+31	1.35437e+02
2.53386e+00	3.62055e+13	1.03047e+07	5.48297e+31	1.32344e+02
2.59294e+00	3.37464e+13	9.61216e+06	4.99726e+31	1.29298e+02
