# r[m]	M[Msun]	rho[g/cm^3]	P[N/m^2]	n_e[pm^-3]	n_p[pm^-3]	muF_e[MeV]	B
1.350673481881110929e+06	2.648660568588490638e-01	3.846477030800424516e+07	5.611766525993528391e+23	1.135633286518335794e+01	1.915280811671011829e+00	9.530873075459408428e-01	9.982716215128436543e-01
1.351409945066433167e+06	2.651926256315212949e-01	3.843783175315825641e+07	5.606302150653230166e+23	1.134840678199621067e+01	1.913939729793318056e+00	9.527909144217323600e-01	9.982719382485564230e-01
1.352146408251755405e+06	2.655193215241823390e-01	3.841090087877060473e+07	5.600840828108853561e+23	1.134048293958475462e+01	1.912599030080736062e+00	9.524943980958004985e-01	9.982722550363016811e-01
1.352882871437077643e+06	2.658461442971432054e-01	3.838397769937380403e+07	5.595382560665692075e+23	1.133256134222776801e+01	1.911258713256762443e+00	9.521977586148099304e-01	9.982725718759325462e-01
1.353619334622399881e+06	2.661730937106447370e-01	3.835706222947309166e+07	5.589927350620401623e+23	1.132464199419611184e+01	1.909918780043551756e+00	9.519009960254120051e-01	9.982728887673022466e-01
1.354355797807722120e+06	2.665001695248578883e-01	3.833015448354782909e+07	5.584475200261007920e+23	1.131672489975296436e+01	1.908579231161949163e+00	9.516041103742531870e-01	9.982732057102640111e-01
1.355092260993044358e+06	2.668273714998845025e-01	3.830325447604967654e+07	5.579026111866913193e+23	1.130881006315352266e+01	1.907240067331443356e+00	9.513071017079630654e-01	9.982735227046709570e-01
1.355828724178366596e+06	2.671546993957576444e-01	3.827636222140457481e+07	5.573580087708902889e+23	1.130089748864531352e+01	1.905901289270218069e+00	9.510099700731672323e-01	9.982738397503762018e-01
1.356565187363688834e+06	2.674821529724423774e-01	3.824947773401121050e+07	5.568137130049155073e+23	1.129298718046802108e+01	1.904562897695125212e+00	9.507127155164796228e-01	9.982741568472328630e-01
1.357301650549011072e+06	2.678097319898361528e-01	3.822260102824199945e+07	5.562697241141246469e+23	1.128507914285358282e+01	1.903224893321698641e+00	9.504153380845062893e-01	9.982744739950940582e-01
